id_coder,full_name,document_id,birth_date,status,withdrawal_date,average,id_clan
1,Catalina Diez Mena,95440016,2007-07-01,WITHDRAWN,2007-07-01,,1
2,Simón del Botella,95818288,2006-12-02,ACTIVE,2025-12-20,,1
3,Federico Ramón-Diéguez,83690403,2004-04-10,WITHDRAWN,2004-04-10,,1
4,Nerea Alegre Tudela,80841116,2004-09-18,COMPLETED,2026-02-27,8.56,1
5,Liliana Lluch Múgica,91232119,2003-10-11,ACTIVE,2025-04-11,,1
6,Antonio Wallace,94364263,2006-04-24,WITHDRAWN,2006-04-24,,1
7,Amy Schaefer,99673472,2004-03-27,ACTIVE,2025-06-28,,1
8,Marcos Palomino,84007328,2002-03-11,ACTIVE,2025-08-01,,1
9,Kimberly Quinn,89532198,2003-08-07,COMPLETED,2025-12-12,6.79,1
10,Jeremy Turner,82973554,2008-08-08,ACTIVE,2026-03-09,,1
11,Erica Hughes,93635742,2009-05-22,COMPLETED,2025-12-02,7.75,1
12,Wesley Porter,95159575,2007-12-09,ACTIVE,2025-10-02,,1
13,Sandra Smith,96195023,2005-02-19,ACTIVE,2025-03-19,,1
14,Bridget Nguyen,90900570,2006-09-26,ACTIVE,2025-04-07,,1
15,Thomas Cole,91400950,2008-01-03,ACTIVE,2025-04-18,,1
16,María Luisa Román Cabezas,97068979,2005-03-18,WITHDRAWN,2005-03-18,,2
17,Renee Gomez,94691201,2009-02-15,ACTIVE,2025-05-13,,2
18,Sharon Wade,91464975,2004-09-16,ACTIVE,2025-05-05,,2
19,Albino Granados Guardia,94290844,2005-09-01,WITHDRAWN,2005-09-01,,2
20,Krista Gutierrez,85520056,2001-07-24,ACTIVE,2025-05-20,,2
21,Dr. Scott Smith,94554751,2006-04-21,ACTIVE,2025-07-21,,2
22,Shelby Olsen,96869614,2009-12-29,WITHDRAWN,2009-12-29,,2
23,Vanessa Fisher,99249883,2006-04-20,ACTIVE,2025-08-05,,2
24,Eliana Navarrete Rosselló,95166852,2004-06-24,ACTIVE,2026-01-11,,2
25,Teodora Barceló Barroso,99437894,2002-05-14,ACTIVE,2025-04-07,,2
26,Kelly Daniels,96159992,2003-12-11,WITHDRAWN,2003-12-11,,2
27,Patrick Silva,95209788,2005-01-21,ACTIVE,2025-04-08,,2
28,Dionisia del Benavent,84127629,2002-02-06,ACTIVE,2025-10-30,,2
29,Simón Blanca Fonseca,99537332,2007-01-25,ACTIVE,2025-08-25,,2
30,Máxima Valcárcel Novoa,97582037,2005-06-08,ACTIVE,2025-05-16,,2
31,Yvette Cunningham,89242028,2009-12-22,COMPLETED,2025-11-30,7.14,3
32,John Reese,89856442,2007-12-15,ACTIVE,2025-10-20,,3
